type,status,rows,capacity_mw,capacity_gw,missing_capacity,exact_or_approx_location_share,source_file
coal,operating,3373,1258130.8,1258.131,0,1.0,[public-source-root]/gis/GEM_China_Energy_Projects/02_china_filtered_tables/integrated-power-tracker/Global-Integrated-Power-March-2026-II__Power facilities__china.csv
utility-scale solar,operating,14037,619739.7,619.74,0,1.0,[public-source-root]/gis/GEM_China_Energy_Projects/02_china_filtered_tables/integrated-power-tracker/Global-Integrated-Power-March-2026-II__Power facilities__china.csv
coal,cancelled,1010,585237.0,585.237,0,1.0,[public-source-root]/gis/GEM_China_Energy_Projects/02_china_filtered_tables/integrated-power-tracker/Global-Integrated-Power-March-2026-II__Power facilities__china.csv
wind,operating,6063,547290.5,547.29,0,1.0,[public-source-root]/gis/GEM_China_Energy_Projects/02_china_filtered_tables/integrated-power-tracker/Global-Integrated-Power-March-2026-II__Power facilities__china.csv
wind,pre-construction,2394,377110.3,377.11,0,1.0,[public-source-root]/gis/GEM_China_Energy_Projects/02_china_filtered_tables/integrated-power-tracker/Global-Integrated-Power-March-2026-II__Power facilities__china.csv
hydropower,operating,1027,376969.0,376.969,0,1.0,[public-source-root]/gis/GEM_China_Energy_Projects/02_china_filtered_tables/integrated-power-tracker/Global-Integrated-Power-March-2026-II__Power facilities__china.csv
utility-scale solar,pre-construction,1934,328538.1,328.538,0,1.0,[public-source-root]/gis/GEM_China_Energy_Projects/02_china_filtered_tables/integrated-power-tracker/Global-Integrated-Power-March-2026-II__Power facilities__china.csv
hydropower,announced,211,264987.0,264.987,0,1.0,[public-source-root]/gis/GEM_China_Energy_Projects/02_china_filtered_tables/integrated-power-tracker/Global-Integrated-Power-March-2026-II__Power facilities__china.csv
utility-scale solar,construction,1102,249822.3,249.822,0,1.0,[public-source-root]/gis/GEM_China_Energy_Projects/02_china_filtered_tables/integrated-power-tracker/Global-Integrated-Power-March-2026-II__Power facilities__china.csv
hydropower,construction,151,247432.0,247.432,0,1.0,[public-source-root]/gis/GEM_China_Energy_Projects/02_china_filtered_tables/integrated-power-tracker/Global-Integrated-Power-March-2026-II__Power facilities__china.csv
utility-scale solar,announced,697,238342.6,238.343,0,1.0,[public-source-root]/gis/GEM_China_Energy_Projects/02_china_filtered_tables/integrated-power-tracker/Global-Integrated-Power-March-2026-II__Power facilities__china.csv
